Tag (subcategory_tag),Description
evaluation_negative,Evaluations that are general and negative; used with other tags from ‘evaluation’ subcategory to specify negativity.
evaluation_political,"Evaluate the political content, impact and intention of the work or the author's body of work."
evaluation_positive,Comments expressing a positive personal evaluation of the text in question; used with other tags from ‘evaluation’ subcategory to specify positivity.
evaluation_positive_discrimination,"Evaluation of author acclaim, suggesting that positive discrimination explains their success."
evaluation_realistic,"Evaluations of the text as illustrative, realistic or realist."
evaluation_stimulating,"Reference to how the text stimulated the reader to read more, learn more or in other ways."
evaluation_uninstructive,Evaluations that the text is lacking in meaningful information or insights.
evaluation_unique,"Remarks reflecting on the uniqueness of the text, either within the context of the author's entire body of work or literature more generally."
evaluation_unliterary,Remarks that work lacks literary features or merits.
genre_ambiguous,References to ambiguous genre.
genre_autobiography,Genre: specific reference to autobiography.
genre_autofiction,Genre: specific reference to autofiction.
genre_based_on_authors_life,References to genre of writing based on author's life.
genre_coming_of_age,References to bildungsroman.
genre_confessions,"Specific reference to confessions, rather than autobiography."
genre_cultural_memory,References to genre relating to shared cultural reference points.
genre_diary,Reference to genre that resembles a diary.
genre_memoir,Makes specific reference to memoir in relation to text in question.
genre_mix_sociology_ab,References to mixing of aspects of sociology and autobiography.
genre_mix_sociology_lit,"Reference to mixing of sociology and literature in general, without reference to descriptors such as autofiction or the novel."
genre_novel,Makes specific reference to the novel in relation to the text in question.
genre_philosophy,Makes specific reference to philosophical writings in relation to the text in question.
genre_political_novel,Makes specific reference to the ‘political novel’ in relation to the text in question.
genre_sociology,"References to genre of sociological writing, sharing conventions and goals of this."
genre_study,Makes specific reference or comparison with anthropological or sociological study.
textual_analysis_characterisation,Refers to characterisation in the text.
textual_analysis_date,Refers to when the text is set in relation to a specific date or decades.
textual_analysis_historical_setting,Refers to text’s historical setting.
textual_analysis_pace,"Comments on pacing of the text, how this is achieved and experienced."
textual_analysis_plot,Comments on plot.
textual_analysis_sequence_events,"Recounts sequence of events in the text, or reflect on presentation of these."
textual_analysis_setting,"Comments on where the text is set, how this is evoked and experienced."
textual_analysis_symbolism,References to the use of symbolism.
textual_analysis_tense,Comments relating to the use of tense and its effects.
textual_analysis_theory,References to theories of writing and interpretation used by the author.
textual_analysis_third_person,Remarks relating to the use of third person narration.
textual_analysis_word_choice,Comments on word choice.
textual_analysis_working_class_perspective,Reflections on voice or narrative perspective in relation to a working class point of view.
textual_extract,Direct quotations from text.
theme_bullying,References to the theme of bullying in the text.
theme_class,References to the theme of social class.
theme_colonialism,Remarks relating to this theme.
theme_consumerism,Remarks relating to the presence and exploitation of the theme of consumerism.
theme_cultural_identification,"Reference to the theme of cultural identification, especially reflecting on relationship between individual and collective experience."
theme_death_ageing,Reflections on the related themes of death and ageing.
theme_female_experience,Comments on the presence and execution of this theme.
theme_health_wellbeing,"References to the themes of health and wellbeing in the text, including ill-health and mental health."
theme_homophobia,References to the theme of homophobia in the text and paratext.
theme_language_power,"References to reflections on language and power, the relationship between these."
theme_literature_writing,"References to reflections on the writing process and literature, the text and author's relationship to literary traditions, etc."
theme_love_relationships,Presence and execution of these themes.
theme_masculinity,References to the presence of theme of masculinity in the text.
theme_memory,"Presence, explanation and execution of this theme."
theme_neglect,References to the presence of theme of neglect in the text.
theme_personal_growth,References to the presence of theme of personal growth in the text and paratext.
theme_racism,References to the presence of theme of racism in the text.
theme_religion_morality,Remarks relating to these broad themes of religion and morality in the text.
theme_sexuality,"References to the presence of theme of sexuality in the text and paratext, including sexual desire, preferences, expression and norms."
theme_social_change,Remarks relating to the theme of social change.
theme_social_history,References to the theme of social history in the text.
theme_social_mobility,References to the presence of theme of social mobility in the text.
theme_technology,References to the theme of technology in the text.
theme_violence,References to the presence of theme of violence in the text.
textual_analysis_polyphony,"Comments on polyphony of narrative voice in the text, or inclusion of multiple voices using techniques such as quotation."
style_dense,Reflection on the style as dense.
evaluation_dated,"Evaluates the text as dated, or out of style in relation to themes, language or narrative voice, and another other textual features."
reading_practices_extraits,"Refers to having read extracts of the text, rather than reading in a linear fashion."
theme_political_history,References to the theme of political history in the text.
textual_analysis_chapter_structure,Reflections on the text’s chapter structure.
intertextuality_hugo,Remarks on intertextuality with works or opinions of Victor Hugo.
evaluation_romantism,Evaluates the text as belonging to the tradition of Romanticism.
reading_practices_writing_inspiration,Reflects on the text as having provided inspiration and guidance on their own writing practices.
evaluation_untruthful,Evaluates the content of the text as untruthful.
reading_practices_pictures,Refers to consultation of pictures in the text.
textual_analysis_mood,Reflections on the mood of the text.
theme_exile,References to the theme of exile in the text.
